date,industry,unemployed
1963-01-01,Switzerland,4
1963-01-01,UnitedStates,0
1964-01-01,Argentina,20
1964-01-01,Australia,0
1964-01-01,Brazil,9
1964-01-01,Croatia,0
1964-01-01,England,30
1964-01-01,France,5
1964-01-01,Japan,2
1964-01-01,Morocco,0
1964-01-01,Netherlands,6
1964-01-01,Poland,11
1964-01-01,Portugal,12
1964-01-01,Senegal,0
1964-01-01,SouthKorea,4
1964-01-01,Spain,12
1964-01-01,Switzerland,9
1964-01-01,UnitedStates,0
1965-01-01,Argentina,12
1965-01-01,Australia,9
1965-01-01,Brazil,25
1965-01-01,Croatia,0
1965-01-01,England,12
1965-01-01,France,6
1965-01-01,Japan,20
1965-01-01,Morocco,2
1965-01-01,Netherlands,3
1965-01-01,Poland,12
1965-01-01,Portugal,8
1965-01-01,Senegal,11
1965-01-01,SouthKorea,7
1965-01-01,Spain,5
1965-01-01,Switzerland,5
1965-01-01,UnitedStates,4
1966-01-01,Argentina,5
1966-01-01,Australia,0
1966-01-01,Brazil,29
1966-01-01,Croatia,0
1966-01-01,England,36
1966-01-01,France,13
1966-01-01,Japan,6
1966-01-01,Morocco,6
1966-01-01,Netherlands,13
1966-01-01,Poland,14
1966-01-01,Portugal,30
1966-01-01,Senegal,0
1966-01-01,SouthKorea,10
1966-01-01,Spain,7
1966-01-01,Switzerland,7
1966-01-01,UnitedStates,0
1967-01-01,Argentina,15
1967-01-01,Australia,15
1967-01-01,Brazil,4
1967-01-01,Croatia,0
1967-01-01,England,12
1967-01-01,France,12
1967-01-01,Japan,6
1967-01-01,Morocco,1
1967-01-01,Netherlands,10
1967-01-01,Poland,8
1967-01-01,Portugal,6
1967-01-01,Senegal,2
1967-01-01,SouthKorea,32
1967-01-01,Spain,2
1967-01-01,Switzerland,18
1967-01-01,UnitedStates,0
1968-01-01,Argentina,15
1968-01-01,Australia,6
1968-01-01,Brazil,42
1968-01-01,Croatia,0
1968-01-01,England,10
1968-01-01,France,2
1968-01-01,Japan,6
1968-01-01,Morocco,1
1968-01-01,Netherlands,3
1968-01-01,Poland,21
1968-01-01,Portugal,5
1968-01-01,Senegal,5
1968-01-01,SouthKorea,13
1968-01-01,Spain,9
1968-01-01,Switzerland,4
1968-01-01,UnitedStates,19
1969-01-01,Argentina,8
1969-01-01,Australia,11
1969-01-01,Brazil,30
1969-01-01,Croatia,0
1969-01-01,England,24
1969-01-01,France,9
1969-01-01,Japan,4
1969-01-01,Morocco,14
1969-01-01,Netherlands,7
1969-01-01,Poland,29
1969-01-01,Portugal,3
1969-01-01,Senegal,5
1969-01-01,SouthKorea,20
1969-01-01,Spain,8
1969-01-01,Switzerland,4
1969-01-01,UnitedStates,0
1970-01-01,Argentina,7
1970-01-01,Australia,15
1970-01-01,Brazil,32
1970-01-01,Croatia,0
1970-01-01,England,19
1970-01-01,France,9
1970-01-01,Japan,13
1970-01-01,Morocco,6
1970-01-01,Netherlands,3
1970-01-01,Poland,17
1970-01-01,Portugal,2
1970-01-01,Senegal,6
1970-01-01,SouthKorea,35
1970-01-01,Spain,10
1970-01-01,Switzerland,6
1970-01-01,UnitedStates,0
1971-01-01,Argentina,15
1971-01-01,Australia,4
1971-01-01,Brazil,5
1971-01-01,Croatia,0
1971-01-01,England,19
1971-01-01,France,13
1971-01-01,Japan,4
1971-01-01,Morocco,0
1971-01-01,Netherlands,19
1971-01-01,Poland,11
1971-01-01,Portugal,9
1971-01-01,Senegal,12
1971-01-01,SouthKorea,21
1971-01-01,Spain,14
1971-01-01,Switzerland,15
1971-01-01,UnitedStates,0
1972-01-01,Argentina,13
1972-01-01,Australia,17
1972-01-01,Brazil,5
1972-01-01,Croatia,0
1972-01-01,England,6
1972-01-01,France,8
1972-01-01,Japan,21
1972-01-01,Morocco,8
1972-01-01,Netherlands,17
1972-01-01,Poland,2
1972-01-01,Portugal,22
1972-01-01,Senegal,2
1972-01-01,SouthKorea,39
1972-01-01,Spain,5
1972-01-01,Switzerland,3
1972-01-01,UnitedStates,6
1973-01-01,Argentina,24
1973-01-01,Australia,24
1973-01-01,Brazil,19
1973-01-01,Croatia,0
1973-01-01,England,22
1973-01-01,France,9
1973-01-01,Japan,5
1973-01-01,Morocco,13
1973-01-01,Netherlands,19
1973-01-01,Poland,26
1973-01-01,Portugal,7
1973-01-01,Senegal,3
1973-01-01,SouthKorea,36
1973-01-01,Spain,9
1973-01-01,Switzerland,3
1973-01-01,UnitedStates,5
1974-01-01,Argentina,19
1974-01-01,Australia,3
1974-01-01,Brazil,15
1974-01-01,Croatia,0
1974-01-01,England,7
1974-01-01,France,6
1974-01-01,Japan,5
1974-01-01,Morocco,18
1974-01-01,Netherlands,32
1974-01-01,Poland,29
1974-01-01,Portugal,0
1974-01-01,Senegal,2
1974-01-01,SouthKorea,14
1974-01-01,Spain,6
1974-01-01,Switzerland,5
1974-01-01,UnitedStates,1
1975-01-01,Argentina,29
1975-01-01,Australia,1
1975-01-01,Brazil,18
1975-01-01,Croatia,0
1975-01-01,England,18
1975-01-01,France,6
1975-01-01,Japan,15
1975-01-01,Morocco,0
1975-01-01,Netherlands,9
1975-01-01,Poland,33
1975-01-01,Portugal,7
1975-01-01,Senegal,4
1975-01-01,SouthKorea,48
1975-01-01,Spain,6
1975-01-01,Switzerland,5
1975-01-01,UnitedStates,1
1976-01-01,Argentina,22
1976-01-01,Australia,11
1976-01-01,Brazil,22
1976-01-01,Croatia,0
1976-01-01,England,18
1976-01-01,France,7
1976-01-01,Japan,20
1976-01-01,Morocco,16
1976-01-01,Netherlands,10
1976-01-01,Poland,9
1976-01-01,Portugal,6
1976-01-01,Senegal,8
1976-01-01,SouthKorea,45
1976-01-01,Spain,1
1976-01-01,Switzerland,6
1976-01-01,UnitedStates,3
1977-01-01,Argentina,16
1977-01-01,Australia,22
1977-01-01,Brazil,26
1977-01-01,Croatia,0
1977-01-01,England,13
1977-01-01,France,12
1977-01-01,Japan,1
1977-01-01,Morocco,14
1977-01-01,Netherlands,10
1977-01-01,Poland,22
1977-01-01,Portugal,10
1977-01-01,Senegal,8
1977-01-01,SouthKorea,54
1977-01-01,Spain,6
1977-01-01,Switzerland,6
1977-01-01,UnitedStates,7
1978-01-01,Argentina,28
1978-01-01,Australia,1
1978-01-01,Brazil,15
1978-01-01,Croatia,0
1978-01-01,England,16
1978-01-01,France,20
1978-01-01,Japan,15
1978-01-01,Morocco,5
1978-01-01,Netherlands,32
1978-01-01,Poland,23
1978-01-01,Portugal,5
1978-01-01,Senegal,0
1978-01-01,SouthKorea,38
1978-01-01,Spain,15
1978-01-01,Switzerland,4
1978-01-01,UnitedStates,0
1979-01-01,Argentina,15
1979-01-01,Australia,0
1979-01-01,Brazil,21
1979-01-01,Croatia,0
1979-01-01,England,23
1979-01-01,France,15
1979-01-01,Japan,14
1979-01-01,Morocco,0
1979-01-01,Netherlands,12
1979-01-01,Poland,20
1979-01-01,Portugal,6
1979-01-01,Senegal,13
1979-01-01,SouthKorea,33
1979-01-01,Spain,7
1979-01-01,Switzerland,6
1979-01-01,UnitedStates,7
1980-01-01,Argentina,19
1980-01-01,Australia,31
1980-01-01,Brazil,17
1980-01-01,Croatia,0
1980-01-01,England,23
1980-01-01,France,15
1980-01-01,Japan,10
1980-01-01,Morocco,31
1980-01-01,Netherlands,5
1980-01-01,Poland,26
1980-01-01,Portugal,7
1980-01-01,Senegal,18
1980-01-01,SouthKorea,47
1980-01-01,Spain,8
1980-01-01,Switzerland,7
1980-01-01,UnitedStates,7
1981-01-01,Argentina,4
1981-01-01,Australia,22
1981-01-01,Brazil,36
1981-01-01,Croatia,0
1981-01-01,England,7
1981-01-01,France,12
1981-01-01,Japan,17
1981-01-01,Morocco,18
1981-01-01,Netherlands,12
1981-01-01,Poland,30
1981-01-01,Portugal,11
1981-01-01,Senegal,9
1981-01-01,SouthKorea,17
1981-01-01,Spain,15
1981-01-01,Switzerland,9
1981-01-01,UnitedStates,0
1982-01-01,Argentina,13
1982-01-01,Australia,7
1982-01-01,Brazil,30
1982-01-01,Croatia,0
1982-01-01,England,32
1982-01-01,France,24
1982-01-01,Japan,2
1982-01-01,Morocco,6
1982-01-01,Netherlands,12
1982-01-01,Poland,19
1982-01-01,Portugal,9
1982-01-01,Senegal,20
1982-01-01,SouthKorea,30
1982-01-01,Spain,12
1982-01-01,Switzerland,14
1982-01-01,UnitedStates,2
1983-01-01,Argentina,8
1983-01-01,Australia,7
1983-01-01,Brazil,21
1983-01-01,Croatia,0
1983-01-01,England,15
1983-01-01,France,7
1983-01-01,Japan,4
1983-01-01,Morocco,4
1983-01-01,Netherlands,14
1983-01-01,Poland,7
1983-01-01,Portugal,8
1983-01-01,Senegal,15
1983-01-01,SouthKorea,13
1983-01-01,Spain,21
1983-01-01,Switzerland,10
1983-01-01,UnitedStates,2
1984-01-01,Argentina,11
1984-01-01,Australia,2
1984-01-01,Brazil,1
1984-01-01,Croatia,0
1984-01-01,England,18
1984-01-01,France,24
1984-01-01,Japan,3
1984-01-01,Morocco,14
1984-01-01,Netherlands,8
1984-01-01,Poland,16
1984-01-01,Portugal,8
1984-01-01,Senegal,21
1984-01-01,SouthKorea,22
1984-01-01,Spain,16
1984-01-01,Switzerland,4
1984-01-01,UnitedStates,11
1985-01-01,Argentina,18
1985-01-01,Australia,15
1985-01-01,Brazil,16
1985-01-01,Croatia,0
1985-01-01,England,19
1985-01-01,France,8
1985-01-01,Japan,15
1985-01-01,Morocco,9
1985-01-01,Netherlands,12
1985-01-01,Poland,13
